Designator,Footprint,Quantity,Value,LCSC Part #
ACC_INT_1,TestPoint_Pad_D0.5mm,1,ACC_INT_1,
ACC_INT_2,TestPoint_Pad_D0.5mm,1,ACC_INT_2,
AE2,SWRA117D,1,SWRA117D,
"C10, C2, C5, C6, C7, C8, C9",C0603-Frame,7,1uF/50V,
"C11, C14, C23, C25",C0402-Frame,4,100nF,
"C12, C3, C4",0805,3,4.7uF/50V,
"C17, C18",C0402-Frame,2,10pF,
"C19, C20",C0402-Frame,2,26pF,
C21,C0402-Frame,1,10uF,
"C22, C24, C26",C0402-Frame,3,1uF,
"D1, D2, D3, D4",D_SOD-123F,4,MBR0530,
D6,D_SOD-123F,1,1N4001,
J1,24_Pins_0.5mm_Pitch_ZIF_Connector_UP,1,FPC24(0.5MM),
"J2, J5",PinHeader_1x06_P1.27mm_Vertical,2,Conn_01x06,
J3,1.25T-2PWT (Molex 532610271),1,Battery,
L1,Inductors_Inductor_Taiyo-Yuden_NR-40xx,1,10uH 1A,
LED1,0402,1,LED,
M1,Motor_Header,1,Vibration_Motor,
Q1,SOT-23,1,AO3400A,
Q4,SOT-23,1,CJ2301,
Q5,SOT-23,1,S8050,
"R1, R14, R15, R22, R7, R8",R0402-Frame,6,10K,
"R10, R12, R13, R16, R20, R25, R4, R5, R6",R0402-Frame,9,100K,
"R17, R26",R0402-Frame,2,1K,
"R2, R3",R0402-Frame,2,4.7K,
R21,R0402-Frame,1,1M,
"R23, R24",R0402-Frame,2,51K,
R9,R0402-Frame,1,3,
"SW1, SW2, SW3, SW4",K2-1114SA-A4SW-06,4,BTN,
TYPEC1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
U1,MSOP-10_3x3mm_P0.5mm,1,CH340X,
U2,SOT-23-5,1,ME6211C33M5G-N,
U3,SOT-666,1,USBLC6-2P6,
U4,LGA-12_2x2mm_P0.5mm,1,BMA423,
U5,SOT-23-5,1,TP4054,
U6,DFN-10-1EP_3x3mm_P0.5mm_EP1.7x2.5mm,1,PCF8563BS,
U7,QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm,1,ESP32-S3,
U8,UDFN-6_L1.6-W1.3-P0.40-TL,1,SR2HARU,
Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768KHz,
Y3,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,40MHZ,
